Course,Duration,FeesWithCautionMoney,Link,Eligibility Criterion
B.Tech. CSE,4Years,152000,https://srmu.ac.in/program/b-tech-computer-science-engineering,Candidate must have passed 10+2 or equivalent from recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. CSE (Cybersec.),4Years,160000,https://srmu.ac.in/program/b-tech-cse-cyber-security,Candidate must have passed 10+2 or equivalent from recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. CSE (DS & AI),4Years,160000,https://srmu.ac.in/program/b-tech-cse-data-science-artificial-intelligence,Candidate must have passed 10+2 or equivalent from recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. CSE + MBA,5Years,152000,https://srmu.ac.in/program/b-tech-cse-mba,Candidate must have passed 10+2 or equivalent from recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. + M.Tech. CSE,5Years,152000,https://srmu.ac.in/program/b-tech-m-tech-cse,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. CSE (AI & ML),4Years,155000,https://srmu.ac.in/program/b-tech-cse-artificial-intelligence-machine-learning,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects alongwith one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Sc. IT,3Years,73000,https://srmu.ac.in/program/b-sc-information-technology,Candidate must have passed 10+2 or equivalent system from any recognized Board with minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
BCA,3Years,87000,https://srmu.ac.in/program/bca-bachelor-of-computer-applications,Candidates must have graduated from a 10+2 or equivalent system from any recognized Board with a minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
BCA (DS & AI),3Years,105000,https://srmu.ac.in/program/bca-data-science-artificial-intelligence,Candidate must have passed 10+2 or equivalent system from any recognized Board with minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
BCA (Cybersec.),3Years,105000,https://srmu.ac.in/program/bca-cyber-security,Candidate must have passed 10+2 or equivalent system from any recognized Board with minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
